model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_activation;param_alpha;param_batch_size;param_early_stopping;param_hidden_layer_sizes;param_learning_rate;param_learning_rate_init;param_max_iter;param_solver;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
activation:relu_alpha:0.001_batch_size:3_early_stopping:False_hidden_layer_sizes:(20, 15, 15, 10)_learning_rate:adaptive_learning_rate_init:0.001_max_iter:3000_solver:adam;0.4374399304389954;0.12577119072294254;0.00044919967651367186;0.00010025071566941138;relu;0.001;3;False;(20, 15, 15, 10);adaptive;0.001;3000;adam;-0.03836067600135054;-0.005090775853346072;-0.015358119747962008;-0.02174469802725971;-0.012798603752463748;-0.08279305386004193;-0.032633509880107006;-0.010826398835728624;-0.030117822890625163;-0.0005810122374227321;-0.04256174188467429;-0.005501270415673377;-0.026673751516466986;-0.013512057863679717;-0.04097986546970547;-0.04372046755029205;-0.006716361772492026;-0.002563914642026172;-0.010179283895266109;-0.011885508549062826;-0.0006131375817738651;-0.005011352009365993;-0.005983672068505412;-0.01325547426112983;-0.024936889436289914;-0.025463782483118133;-0.007968143156446868;-0.075146542082842;-0.01139132595995153;-0.061670653794281875;-0.054970399444342094;-0.0043405703872375035;-0.009700107935435595;-0.0464143897982989;-0.009159889532717099;-0.007659896787473514;-0.0007069916948078372;-0.00027114796831667333;-0.020841950736101834;-0.02765022394094836;-0.008191990413225499;-0.0002069696827725502;-0.000906927261332033;-0.040288626459365116;-0.05056796421444345;-0.0011828753370440746;-0.016784650365756628;-0.017051931555791443;-0.060099042603265714;-0.02611253742037896;-0.04522980858429673;-0.022126118181185706;-0.003720409884227881;-0.03049385397312943;-0.05292775008341666;-0.0024696228658881284;-0.03327048454213496;-0.042343201744003106;-0.011046148595551794;-0.00172225314154802;-0.015475367729840893;-0.047067075743931173;-0.0007258028657200714;-0.015097361473794266;-0.001966101567474309;-0.02989294661114251;-0.05746413601322;-0.0005391584107862427;-0.000511310585351857;-0.002243128248709882;-0.0025244962445728765;-0.044785363577604285;-0.023806855042710847;-0.00030568846909523627;-0.030181999802723358;-0.022908986718382245;-0.06023586792055314;-0.034406882405129534;-0.021830754106886174;-0.006693763446632272;-0.034200703489399145;-0.0007396994305513974;-0.03658320981479412;-0.0348552432039394;-0.00219538657582155;-0.029408027464717462;-0.0015343622801254776;-0.00031306335839848665;-0.015629623868601037;-0.02769095816083458;-0.0263007063746937;-0.03981948932865131;-0.00014586637978652146;-0.00858604281572214;-0.0014420248671827742;-0.005364987845410822;-0.04477947573426297;-0.030330102280300766;-0.015592088233671463;-0.024305308458742205;-0.021329780195636572;0.019140229469241002;1
activation:relu_alpha:0.001_batch_size:3_early_stopping:False_hidden_layer_sizes:(20, 15, 15, 10)_learning_rate:adaptive_learning_rate_init:0.001_max_iter:2000_solver:adam;0.43218958854675293;0.12223505534757846;0.00047264575958251955;0.00015965320275665966;relu;0.001;3;False;(20, 15, 15, 10);adaptive;0.001;2000;adam;-0.05479711571487233;-0.007676345229452948;-0.006491486403783317;-0.022092024220573034;-0.00042551973964475106;-0.08449731783027205;-0.004899118950350797;-0.015008879538091007;-0.02332416661932193;-0.0007559728258723655;-0.07285053536048833;-0.002618712940725011;-0.03662849994192192;-0.021895606370075173;-0.0656546892224508;-0.03919105605705304;-0.0050371348589114745;-0.0009584399300739509;-0.0057097640159358394;-0.012866844114467514;-0.00034772777798833406;-0.003990780057415975;-0.0007264656393862371;-0.004310636622425291;-0.008774942663356372;-0.028567848051191797;-0.005180179850630931;-0.05914446784251045;-0.012594218017213577;-0.04132528612721337;-0.06720162318151338;-0.010319716552332442;-0.007221579264574463;-0.04303832006729843;-0.013371162835583837;-0.012189844008833765;-0.0004055714406110511;-0.0011866733152856217;-0.017865693199542242;-0.04704293892705782;-0.005476734953186595;-0.0016634723256470218;-0.012837624625557376;-0.03885778442999742;-0.048448664886018684;-0.00259458739116061;-0.023221706158433233;-0.010141851565573528;-0.05241315899483681;-0.01813559656789659;-0.039730296518759686;-0.017325852559371805;-0.006664199610911285;-0.015922587637138757;-0.04901085066183137;-0.0037718550493820147;-0.011731821167241417;-0.05232202933763336;-0.02006181870037483;-0.0019362990308564693;-0.021428129847577155;-0.04798678691831577;-0.0005510472305146557;-0.012437905577402956;-0.005724961521681553;-0.05458556213434714;-0.06727044885451246;-0.0005227554541110112;-0.0006072931341761877;-0.0033484999293212424;-0.0049404743110449114;-0.034921295972113846;-0.020043233988261775;-0.0036487222864732202;-0.04054776623770016;-0.009536939124426422;-0.045358660269948586;-0.04054022950521561;-0.0171195893428236;-0.0017247626977260806;-0.044348976963235844;-0.0008505625929639882;-0.01992640461410552;-0.044839842560196776;-0.023387480476372218;-0.03391906112189472;-0.004111084456870253;-0.0036682976123684455;-0.009550179707168363;-0.029933086457607463;-0.03111325463086246;-0.0221197925194606;-0.00043160032618076667;-0.00906240369576923;-0.004192020228268954;-0.007882161442945993;-0.05677293410631185;-0.037878569255681734;-0.032414992612881645;-0.029498665261486052;-0.021792001324784396;0.02043287381397947;2
activation:relu_alpha:0.01_batch_size:3_early_stopping:False_hidden_layer_sizes:(20, 15, 15, 10)_learning_rate:constant_learning_rate_init:0.001_max_iter:2500_solver:adam;1.030114200115204;0.35157370633230456;0.00044871091842651367;0.00010177308320369051;relu;0.01;3;False;(20, 15, 15, 10);constant;0.001;2500;adam;-0.028952919761566196;-0.0006188381536680753;-0.023934708055026347;-0.01624547796970245;-0.002574713954147503;-0.0578667584092519;-0.008392369233144749;-0.0074693678702875835;-0.027163495994480785;-0.007092041388161445;-0.05826021403030908;-0.0063796140116846485;-0.03043941909915063;-0.008160544101662651;-0.03251651069924009;-0.03375079321539932;-0.0002467076531070264;-0.0028866205965896057;-0.011338360303575797;-0.018213490332444012;-0.0001428826114810796;-0.014900303200099607;-0.0004945525908048871;-0.02413841497948843;-0.021628149992420357;-0.018329147732365804;-0.0050088715219726914;-0.06140887973642728;-0.025255422177868168;-0.02420678074230931;-0.08200246856009812;-0.002422992461933254;-0.01864281985063628;-0.0813079850819539;-0.01634640092708371;-0.012578990569526076;-0.0013009231706084012;-0.004648382758999452;-0.008425916901678722;-0.032971789799427755;-0.008796318486946755;-0.011907910998545554;-0.009824201602063945;-0.036398046140841765;-0.03024925941057029;-0.0010386108434642905;-0.033378861279271865;-0.020714611383810918;-0.05314821850575981;-0.05103294848092374;-0.04229326703619734;-0.027482846672298934;-0.0029708878583472828;-0.03275493311756522;-0.04691862891151969;-0.0005024198037489419;-0.015250149174817311;-0.06891125967016566;-0.031917033682647394;-0.002246960272866103;-0.02277109981616108;-0.018990534465075593;-0.0009296380818161369;-0.02683786583607881;-0.0014004211744562845;-0.03544210124645743;-0.0626131493547153;-0.0012143787317634405;-0.002387411257908635;-0.011228753457168944;-0.010317490639232556;-0.04340433047855833;-0.020289335719290542;-0.0025376724396341606;-0.04464620520679674;-0.027990591657855845;-0.031906512785720785;-0.02465976060328032;-0.007194109049559318;-0.03023127243783424;-0.058473339331603764;-0.003672053997785906;-0.05341583502135739;-0.020285963004144262;-0.009121476145414142;-0.014232727389432582;-0.0009145383772883029;-0.0030830387159414326;-0.012409244232317406;-0.024225101562603917;-0.03217675053213254;-0.029062954549769843;-0.0006914295930086608;-0.0006316880547819062;-0.005502841078917808;-0.012338821221708873;-0.03403354530852294;-0.04343077325249455;-0.019720661388633143;-0.027595891849615167;-0.021984137225789947;0.019150850994619696;3
activation:relu_alpha:0.01_batch_size:2_early_stopping:False_hidden_layer_sizes:(20, 15, 15, 10)_learning_rate:adaptive_learning_rate_init:0.001_max_iter:1600_solver:adam;1.4807970023155212;0.4093158873562289;0.0004811239242553711;9.539851027966368e-05;relu;0.01;2;False;(20, 15, 15, 10);adaptive;0.001;1600;adam;-0.043011247647316855;-0.000559759972330679;-0.03465834235887983;-0.04118682555455164;-0.0029724796120926614;-0.058563321812599316;-0.007224458631864678;-0.012031233392974154;-0.04132799665933131;-0.0003146540454976051;-0.04265850775477237;-0.01159725907078732;-0.022775211565226664;-0.02127038046985917;-0.04030292455733179;-0.05318275097241523;-0.0022301678684838945;-0.0012091936006119353;-0.015967523716951464;-0.012087408229665595;-0.0004759470536216407;-0.009261112238818857;-0.0007408440756793912;-0.012213539519418814;-0.020679154850837055;-0.021726950849732696;-0.002404532263105963;-0.06226612597989397;-0.00950845901779804;-0.025206356077769766;-0.07707521255096142;-0.004804716813376588;-0.003098829229279775;-0.09310248321515856;-0.023567090988883096;-0.016977914147062862;-0.0027592299502729694;-0.0011131420122606872;-0.02604050904832263;-0.0055396769079727945;-0.0024434409678394465;-0.0009079391770744953;-0.02455801004214676;-0.04617463920767972;-0.04845517065793611;-0.0020155160883142645;-0.01256781487596216;-0.017982291444090512;-0.0961183562721701;-0.026918732654488863;-0.029006856326738377;-0.05186222172480449;-0.00012309051339520554;-0.029757471826340375;-0.02753525407873175;-0.002563048066672313;-0.0036328997941319587;-0.062436799983671555;-0.030584347772162717;-0.0002746583552717502;-0.017004745894038022;-0.0370757011656166;-0.0007716168259812761;-0.028014289537987486;-0.009570876220159067;-0.03667615237869352;-0.07153189266680121;-0.0002914510526542619;-0.0017353392047149982;-0.009730814679642714;-0.0012735541231155396;-0.03549717923076345;-0.00985862602777896;-6.983318256243423e-05;-0.0342220032623071;-0.02189411393385619;-0.03819135865774931;-0.026672675267358323;-0.01357330723756644;-0.004826755926357271;-0.04152905743196116;-0.001487826402547089;-0.031999828843525514;-0.04311812270040411;-0.01743597847620483;-0.03764047363346109;-0.009870675275211216;-0.0016830692447707433;-0.009888995816439913;-0.031129214247677936;-0.02387219639512426;-0.025596574958137285;-0.0005542626250580509;-0.00031497672652262013;-0.013266327345690112;-0.0037141182114119636;-0.03138758939307885;-0.03319138599973805;-0.027225235030778838;-0.025691139679384387;-0.022086913690262264;0.02085575173242824;4
activation:relu_alpha:0.001_batch_size:2_early_stopping:False_hidden_layer_sizes:(20, 15, 15, 10)_learning_rate:constant_learning_rate_init:0.001_max_iter:3000_solver:adam;0.508817663192749;0.16455370898254632;0.00046099424362182616;9.629421150783835e-05;relu;0.001;2;False;(20, 15, 15, 10);constant;0.001;3000;adam;-0.03849844067842051;-0.0005333083904559423;-0.003909897989364986;-0.014713176805037103;-0.0005037319796606284;-0.09179739032054757;-0.02910062241782806;-0.007565459228489579;-0.028471171316374517;-0.0012659834945334995;-0.03314621756858193;-0.006587578214525113;-0.02758802485759757;-0.014905771825131649;-0.040869503866592334;-0.03572663441289243;-0.00474330592589148;-0.0010341206632206222;-0.02517413129432534;-0.008249288120767164;-0.0047377405614176344;-0.010724002244554687;-0.001842309555318372;-0.012916678875473308;-0.01417036651290321;-0.0293858228269238;-0.0015618962875969193;-0.040249938468483175;-0.011963552998936427;-0.03619146461580943;-0.04904274938861635;-0.007250393374069591;-0.003002592259389266;-0.1372363218317224;-0.012030036855304486;-0.01233964590832086;-0.0006667249268041751;-0.0014995110303713238;-0.020916947402168328;-0.011398789978760948;-0.003325017699433019;-0.007294681109015599;-0.020413583849041867;-0.03526479799897892;-0.05874254435048676;-0.00038990905432119497;-0.04618477218260112;-0.02613829243240215;-0.07206553285773003;-0.03270484173042799;-0.041474366239703256;-0.025394886200616015;-0.002112679829007972;-0.05968365212277827;-0.015321324467801767;-0.0024495600215176726;-0.023659336627895197;-0.011894289384342211;-0.005433590622256001;-0.0008326133629125718;-0.02182973316787482;-0.02785467380128914;-0.0007562615785938081;-0.0298597921345149;-0.004116687211602395;-0.05619129161069767;-0.06936925380539323;-0.0008550802512869135;-0.007478460373256216;-0.01869548453596247;-0.0076290668672711354;-0.05241689753159557;-0.018807265374860143;-0.0012269697698127399;-0.01723970777998034;-0.018275029556385162;-0.051315106083844375;-0.06398966830715345;-0.016676846831900665;-0.005752550535154207;-0.04559577175186921;-0.00028438940873133753;-0.03488993042290391;-0.013538597066499682;-0.01204974604809454;-0.02798487583427053;-0.0008563485583304568;-0.0029526559535292224;-0.01213682568961587;-0.03811988904304344;-0.027300881172839613;-0.04477807256111243;-0.0012330585070499838;-0.0010945133421451248;-0.01680733166848401;-0.0013969003798596918;-0.03864964666642343;-0.039267606114417694;-0.007105050225901979;-0.02876631213656455;-0.022094357470765682;0.022572167465613278;5
activation:relu_alpha:0.01_batch_size:3_early_stopping:False_hidden_layer_sizes:(20, 15, 15, 10)_learning_rate:adaptive_learning_rate_init:0.001_max_iter:1600_solver:adam;0.9860157012939453;0.2925494389598152;0.0004580092430114746;0.00010001599691869809;relu;0.01;3;False;(20, 15, 15, 10);adaptive;0.001;1600;adam;-0.028811317692680465;-0.0009886872274234395;-0.009370543239820797;-0.01462180442923522;-0.0023807999399958132;-0.05065769323391426;-0.008450718659355426;-0.008357880962823897;-0.028507146206887612;-0.007736108007517448;-0.05830758864680415;-0.005647784096200789;-0.03054340559027766;-0.013064214756031403;-0.020276869250892296;-0.03216715020900234;-0.004621755129095823;-0.0030967866293453807;-0.006610128580972211;-0.014480237341207826;-0.001189512139227945;-0.009926186580908663;-0.00017223326625447627;-0.011926504539153652;-0.018022553326746023;-0.02998013421706987;-0.0047182918537306716;-0.05422800895394609;-0.0052471373325525955;-0.05724284142402774;-0.060143595273338804;-0.002592070541337157;-0.017073332388827293;-0.0738687863365548;-0.018168041855507144;-0.0007299776519030251;-0.0013635595205449271;-0.0003478883992675574;-0.018409961182835537;-0.018280409229819435;-0.0013814175176934773;-0.0005698446683000115;-0.02755924094784855;-0.043553162358591614;-0.05661341169907191;-0.005248149455102223;-0.02247647398081624;-0.026384186073509883;-0.060078667792212555;-0.027240693018804153;-0.03666402207810646;-0.06737439112314207;-0.0003957846553660589;-0.03595700596881266;-0.07270076068630045;-0.0008171562079848388;-0.0038586966579589655;-0.011774476396376339;-0.024983711202427983;-0.0001852927008943243;-0.02744511211745143;-0.03439487236375333;-0.014264341565317537;-0.05606264958019019;-0.006843990785270757;-0.0477001259380111;-0.06463112273856612;-0.001080771678132099;-0.0002284019253884164;-0.006916771602319932;-0.0015860363981381785;-0.0539865567958416;-0.01296652262204219;-0.00017892702376796923;-0.03612959222916683;-0.0326851287501985;-0.0467399551261052;-0.03903173721671041;-0.035711795320557856;-0.0073658615813372375;-0.04690717927379351;-0.002086318322426688;-0.015775655164653315;-0.036892407885181173;-0.01437651705710937;-0.048295856584007237;-0.0010773111596343134;-0.0005226827651872316;-0.019743405207590815;-0.03613248652399355;-0.024804192264910995;-0.035265588033047836;-0.0007122467031207367;-0.0008495605692961174;-0.002686933090637056;-0.007640919360750644;-0.05726559540209375;-0.03315253975626756;-0.012757219371053506;-0.026525625815298808;-0.022275667047006797;0.020422364673695098;6
activation:relu_alpha:0.01_batch_size:3_early_stopping:False_hidden_layer_sizes:(20, 15, 15, 10)_learning_rate:adaptive_learning_rate_init:0.001_max_iter:2000_solver:adam;0.9803858184814453;0.30507962065596467;0.00044366836547851565;9.852285548669054e-05;relu;0.01;3;False;(20, 15, 15, 10);adaptive;0.001;2000;adam;-0.023896653769786242;-0.007631108713047408;-0.018204585382109072;-0.030256256077419122;-0.0008266446247042818;-0.058994981149311676;-0.008974114254773995;-0.012081695954799793;-0.017723172802743565;-0.0003572219126594262;-0.0864117499917728;-0.011434681213315036;-0.025693123005839657;-0.014459415711286077;-0.02346169970428798;-0.05584617682040575;-0.01316648251163761;-0.0007443199926797395;-0.0091850902697915;-0.020938742064245994;-0.0007778741981401504;-0.00445843993508368;-0.0007194836806752574;-0.01752665502586279;-0.01382656820494639;-0.028290897270449252;-0.011855750234245581;-0.06426269484828658;-0.009118128669285018;-0.029854827597948098;-0.03499743135378229;-0.0040979679287744255;-0.019502949132755753;-0.12203927548388838;-0.015890846558813652;-0.01106029926269131;-0.00046736622138035967;-0.00025717286695252454;-0.01853199535827771;-0.03378247372441715;-0.000572478359950683;-0.0020413548088015995;-0.024084137475596564;-0.04667746019147293;-0.04615308894455831;-0.0010930801388465696;-0.024297577785351663;-0.019388929913001163;-0.05406957222785058;-0.027623989178515506;-0.043917006895927486;-0.02997663600192138;-0.003469811496964683;-0.09779421805037479;-0.029587477842957538;-0.0013604800804703759;-0.013951728095991578;-0.03639016226487105;-0.06202443942074779;-0.0011641317978749834;-0.019915728203698777;-0.042079314783907244;-7.437769683822145e-05;-0.04020066652731014;-0.00829118695762479;-0.04825800246898051;-0.04973143213669567;-0.004784753824366943;-0.004385063986855892;-0.0031938758984075455;-0.0071366127790292964;-0.04835202263418742;-0.021190118238129236;-0.0032912243572593325;-0.030478355940276786;-0.02795797989255756;-0.035614780927140564;-0.023372215181333575;-0.018956751691578764;-0.0013258329073348825;-0.022650093649881117;-0.0003336098626096188;-0.021621162257369948;-0.032237734941662474;-0.014232589528826988;-0.039998879348424936;-0.0015862987366647297;-0.00104745702425294;-0.0037734171583529426;-0.026719656572179677;-0.03327440235869212;-0.031459268456668105;-0.0007138837717325396;-0.004322981518602334;-0.006518832497313512;-0.0029290362913547753;-0.0358204312832338;-0.042795987030679855;-0.016185381866897015;-0.029499191523064367;-0.02253555367167297;0.02179228570393562;7
activation:relu_alpha:0.01_batch_size:3_early_stopping:False_hidden_layer_sizes:(20, 15, 15, 10)_learning_rate:constant_learning_rate_init:0.001_max_iter:3000_solver:adam;1.0504145121574402;0.34569180383244175;0.0004725360870361328;0.00010485679965561469;relu;0.01;3;False;(20, 15, 15, 10);constant;0.001;3000;adam;-0.051724522582820946;-0.0005154794436029645;-0.014969503681219591;-0.027237157958675512;-0.001511465153562869;-0.05884162056677745;-0.013353121379301296;-0.0038690859346435427;-0.028712842624955628;-0.006806064241505709;-0.043498218738962514;-0.015272742219712728;-0.026852092178720578;-0.0165196300340591;-0.02663402958204281;-0.05610635089334756;-0.005760893129672602;-0.0016722600259902823;-0.007572080561726283;-0.007060197015006944;-0.0008331572420742288;-0.0033006150303306475;-0.0001950904868031734;-0.022361563533017246;-0.04012359174562499;-0.03291182361053739;-0.003110933524090321;-0.07151269077560603;-0.01861008516753266;-0.07348061367635894;-0.08755042562020275;-0.00038593685942447893;-0.010649553236299724;-0.07902165323282355;-0.008076670672651626;-0.016656299142350978;-0.00046554724038109634;-0.00043025694605200383;-0.030458841663020694;-0.027275240881065286;-0.0002773986587726594;-0.0030872442678886087;-0.031835805867791105;-0.03547445948579118;-0.04009887437878953;-0.0005177614688852463;-0.015950309229894693;-0.019439541908385042;-0.05235190650202077;-0.027701511648771923;-0.021976978068166488;-0.043278987702514336;-0.004447706213192141;-0.023155513311165207;-0.04745364246004197;-0.003624177039954783;-0.013419639899565848;-0.07746171600737563;-0.021966859482682375;-0.00012807695639052534;-0.02065108099233985;-0.03990084108024336;-0.001853477380431595;-0.04056861230706923;-0.0005572776345175597;-0.034837575318096566;-0.059478330340531314;-0.0006976799135638253;-0.0005359101396957256;-0.003219874883663988;-0.0030232730608441543;-0.03606340575614044;-0.015240587019911454;-0.0007172404829136883;-0.04105051897203073;-0.036635398920029885;-0.03958100870393515;-0.041050682775855184;-0.01827668515809749;-0.016491060782192982;-0.05347917501810336;-0.0004613855022138019;-0.03438259982114289;-0.040210625612275154;-0.009619385749862243;-0.010060711963581501;-0.0008167634258066576;-0.004370825458659467;-0.025910233536769356;-0.023058066887761425;-0.02145440543106581;-0.03872532919546257;-0.00018454730499075953;-0.00040167644940789497;-0.00549038109445445;-0.001931890346026821;-0.01941453145365066;-0.023608837327656774;-0.03376403782120283;-0.030579156578303835;-0.022539031463910973;0.02083478298096501;8
activation:relu_alpha:0.01_batch_size:3_early_stopping:False_hidden_layer_sizes:(20, 15, 15, 10)_learning_rate:adaptive_learning_rate_init:0.001_max_iter:1250_solver:adam;1.0132550621032714;0.34885372854680524;0.00046602487564086916;0.0001331468118876855;relu;0.01;3;False;(20, 15, 15, 10);adaptive;0.001;1250;adam;-0.02448980817783418;-0.00018104768544208305;-0.014218655515790076;-0.04281041346751643;-0.00499607264019097;-0.07747623919769625;-0.006202191940273893;-0.00867501835093695;-0.042675712497763585;-0.0004826164834821477;-0.029207824336314983;-0.008560883705927688;-0.03198923469544959;-0.006344913803858765;-0.035798563362920574;-0.04281729633619325;-0.002145880368614369;-0.007052167448284869;-0.005534945557732488;-0.013970267125873001;-0.002523274389370664;-0.009027943952004213;-0.0006240662268876042;-0.013714128342250317;-0.02722706722607635;-0.045066001327432624;-0.0002678322771881752;-0.07700687687308179;-0.00847788329844737;-0.04496268663064024;-0.05728586280524887;-0.00043764787517902923;-0.005054597677624549;-0.107608010413948;-0.0067091706135961595;-0.010234527940590755;-0.0011301731927042624;-0.0024231823285533736;-0.019429736313449488;-0.014803036048110764;-0.0010280737650591861;-0.01082166565320696;-0.03388782738340609;-0.030060133019864044;-0.04747674318724018;-0.0017383074892175722;-0.015001194627236487;-0.02255043058266555;-0.04992605369651618;-0.016698629114865;-0.04292633526904999;-0.03110391839259553;-0.0038047138261957194;-0.026378758213142534;-0.04256777182634364;-0.0013032516371054863;-0.017969937332300002;-0.05808948890109187;-0.017696874407100577;-0.0009480968994893794;-0.01872002021807598;-0.050195921545490296;-0.0006149633284092018;-0.02764958199323612;-0.001693568782272858;-0.04912420963262745;-0.06340295432078931;-0.003010231490682347;-0.0006037466331544499;-0.003467924342874384;-0.0016654000537436584;-0.03852310108230766;-0.023798122628194904;-0.0008248126184225299;-0.038163039717274486;-0.02358912462527328;-0.052960680291561125;-0.032791414707029266;-0.011566191291455405;-0.0062165237492674;-0.0543511965524731;-0.002142931985155022;-0.036857593379347096;-0.03520904914290603;-0.008401019959847607;-0.046377305661763145;-0.000997234715579115;-0.001164910365407729;-0.010780667901277912;-0.028867152550939718;-0.02810997880719043;-0.061934729048564625;-0.006788909529647016;-0.0005497912572527591;-0.007742474240441627;-0.0011219218606748147;-0.049621119692156185;-0.032469304205572445;-0.038626394532248774;-0.02436884100106677;-0.022566857231158272;0.021523074453033864;9
activation:relu_alpha:0.01_batch_size:3_early_stopping:False_hidden_layer_sizes:(20, 15, 10)_learning_rate:constant_learning_rate_init:0.001_max_iter:2500_solver:adam;0.8624284839630127;0.31220656538942876;0.0004354238510131836;9.662795585423761e-05;relu;0.01;3;False;(20, 15, 10);constant;0.001;2500;adam;-0.0330435490032905;-0.0006103071714947983;-0.020602468502493556;-0.023675456483161824;-0.0015504292285551497;-0.06864575495185711;-0.005608361234748649;-0.010622951540466783;-0.03438330544536372;-0.0010129056894170457;-0.06110949426841598;-0.016907304163565787;-0.02426856295867166;-0.012629795718755915;-0.04793279210232437;-0.03990409545922347;-0.005348348076868342;-0.0012297575084791307;-0.015521100567699024;-0.011998418784953543;-0.00016364712945630204;-0.011983831314420768;-0.0029809735244765985;-0.016352266374729297;-0.0018378721009310042;-0.028545181547180845;-0.0003532508067117588;-0.0759526171599182;-0.016718110175761254;-0.06644559001404467;-0.05971462794681903;-0.003581360186655407;-0.014496104981541502;-0.09278826142837825;-0.01746750254941932;-0.007889507502058694;-0.001270560607739917;-0.0004307940537569227;-0.020093342821850723;-0.0285964089697209;-0.005227875241688916;-0.0024428528411231066;-0.03293120782235962;-0.047646944956304775;-0.04771319763342674;-0.0019277230557436364;-0.013832035571846838;-0.03630679207900614;-0.07908919426523696;-0.03195439567499505;-0.019913938577089396;-0.03932019903147419;-0.001191072494768342;-0.04748740854218603;-0.04311696824078449;-0.0012592541380704277;-0.01487050579453495;-0.037577544694638365;-0.029807444928003704;-0.0016049880051444757;-0.01945023130410697;-0.031179012295399818;-0.0024936950004120027;-0.011841816507992126;-0.005935224638193864;-0.03864133316830385;-0.060649714031529765;-0.0005562365255968257;-0.004518519706874591;-0.003973042903395447;-0.0016217466554346745;-0.030546863437885454;-0.015438665877028182;-0.00018145587864471055;-0.03864219719686652;-0.029892605705217748;-0.019821065950446835;-0.05239270353923295;-0.024943144218073535;-0.0024431048468171353;-0.050408883105799156;-0.0004988320515969546;-0.05703160826155975;-0.02671160274563569;-0.011929859695766007;-0.04170755636085883;-0.0012050499912953897;-0.006601342854160451;-0.0061041257624850215;-0.033921916734746066;-0.03277826624788012;-0.028207861267264187;-0.0004924934712881645;-0.000847564373439003;-0.01489165783331702;-0.005429148588252989;-0.044346216231738476;-0.04235001871234647;-0.019838103699052475;-0.02881573496419214;-0.02288768735983931;0.021055325461578615;10
